Question	Answer
Where is the Wellness lounge?	In UCU203 and UCU205
Where is the Student Health and Wellness centre?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5
Where can I get a doctor's appointment on campus?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498
How do I meet with a psychotherapist?	By taking an appointment at the Student Health and Wellness Centre.
How can I book an appointment at the clinic on campus?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498
How can I get academic accommodations?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.
Do I need a doctors note to get Academic accommodations?	Yes you will need supporting medical documentations.
Does uOttawa do HIV testing?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.
How can I get an appointment for my mental health on campus?	By taking an appointment at the Student Health and WellnessCcentre.
What is the phone number of the clinic on campus?	613-562-5498
Is the clinic on campus open right now?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed
What is Case management?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.
What is the uoWellness app?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.
How much is a doctor's appointment at the student health and Wellness centre?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered
Does my insurance cover the appointments at the student health and Wellness centre?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered
Is there a pharmacy on campus?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa
How do I register for wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.
How much does it cost to get academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.
Can I get blood work done on campus?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.
