Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Where is the Wellness lounge?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
1. Can you tell me the location of the Wellness lounge?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
2. I'm looking for the Wellness lounge. Do you know where it is?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
3. Could you direct me to the Wellness lounge?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
4. Where exactly can I find the Wellness lounge?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
5. Would you happen to know the whereabouts of the Wellness lounge?	In UCU203 and UCU205	Generated	category:health_services|keywords:['wellness lounge', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_info:UCU203 and UCU205 are likely building or room numbers on a campus.	[]	False	[]	
Where is the Student Health and Wellness centre?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
1. Can you tell me the location of the Student Health and Wellness centre?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
2. I'm looking for the Student Health and Wellness centre, do you know where it is?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
3. Where can I find the Student Health and Wellness centre?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
4. Is the Student Health and Wellness centre around this area?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
5. Could you direct me to the Student Health and Wellness centre?	Minto Sports Complex  801 King Edward Avenue, Room N203 (2nd floor) Ottawa, Ontario K1N 6N5	Generated	category:health_services|keywords:['Student Health', 'Wellness centre', 'location']|audience:['students', 'staff', 'visitors']|language:en|additional_information:{'location': 'Minto Sports Complex', 'address': '801 King Edward Avenue, Room N203 (2nd floor)', 'city': 'Ottawa', 'province': 'Ontario', 'postal_code': 'K1N 6N5'}	[]	False	[]	
Where can I get a doctor's appointment on campus?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
1. Is there a doctor's office on campus where I can schedule an appointment?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
2. Can you recommend a place on campus where I can schedule a doctor's appointment?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
3. Are there any medical centers on campus where I can book a doctor's appointment?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
