Question	Answer	Metadata
What is case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
Who can access case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
What are the goals of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
How does case management work?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
What types of support are included in case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
How can a student request case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
What is the referral process for case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
Are there any fees for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
What is involved in the intake process for case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
What follow-up services are provided in case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
Where can I find more information about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
What is case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
Who can access case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
What are the goals of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
How does case management work?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
What types of support are included in case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
