Question	Answer	Metadata
What is case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
1. Can you explain the concept of case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
2. How would you define case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
3. What does case management involve?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
4. Could you describe what case management is?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
5. What are the key aspects of case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
Who can access case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
1. Which individuals are eligible for case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
2. Who is allowed to use case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
3. Who qualifies to receive case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
4. What are the criteria for accessing case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
5. Who is permitted to utilize case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
What are the goals of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
1. What objectives does case management aim to achieve?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
2. Can you outline the primary aims of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
3. What are the intended outcomes of implementing case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
4. What purposes does case management serve?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
5. How does case management benefit its stakeholders?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
How does case management work?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
1. What is the process involved in case management?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain how case management operates?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
3. How is case management implemented in practice?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
4. What are the steps in the case management workflow?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
5. How does the case management system function?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
What types of support are included in case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
1. What kinds of assistance are provided through case management services?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
2. What forms of help can one expect from case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
3. What support options are available under case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
4. What are the various support services offered in case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
5. What types of aid are encompassed within case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
How can a student request case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
1. What steps should a student follow to access case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
2. How does a student go about requesting case management support?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
3. What is the process for a student to obtain case management assistance?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
4. How can a student initiate a request for case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
5. What are the procedures for a student to apply for case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
What is the referral process for case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
1. How does one initiate a referral for case management services?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain the steps involved in referring someone to case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
3. What are the procedures for getting a case management referral?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
4. How do referrals for case management typically work?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
