Question	Answer	Metadata
Qu'est-ce que la gestion de cas?	La gestion de cas Ã  l'Université d'Ottawa est un service non clinique qui soutient les étudiants ayant des besoins complexes en coordonnant diverses ressources au sein de l'université et dans la communauté.	topic:Case Management; subTopic:Case Management - General Info
Qui peut accéder aux services de gestion de cas?	Tous les étudiants de l'Université d'Ottawa ayant des besoins complexes nécessitant la coordination de divers services de soutien peuvent accéder aux services de gestion de cas.	topic:Case Management; subTopic:Case Management - General Info
Quels sont les objectifs de la gestion de cas?	Les objectifs de la gestion de cas sont de fournir une approche intégrée pour gérer les besoins académiques, de santé ou personnels en créant un systÃ¨me de soutien personnalisé.	topic:Case Management; subTopic:Case Management - General Info
Comment fonctionne la gestion de cas?	La gestion de cas fonctionne en évaluant les besoins de l'étudiant et en coordonnant diverses ressources et services, tant Ã  l'intérieur qu'Ã  l'extérieur de l'université, pour aider l'étudiant Ã  surmonter les défis.	topic:Case Management; subTopic:Case Management - General Info
Quels types de soutien sont inclus dans la gestion de cas?	Le soutien dans la gestion de cas comprend des accommodements académiques, un soutien en santé mentale, une aide au logement et une connexion aux ressources communautaires.	topic:Case Management; subTopic:Case Management - General Info
Comment un étudiant peut-il demander des services de gestion de cas?	Un étudiant peut demander des services de gestion de cas en contactant l'équipe de soutien aux étudiants via le site Web de l'Université d'Ottawa ou en visitant le Centre de santé et de bien-Ãªtre des étudiants.	topic:Case Management; subTopic:Case Management - General Info
Quel est le processus de recommandation pour la gestion de cas?	Le processus de recommandation implique qu'un étudiant ou une personne concernée par l'étudiant contacte l'équipe de gestion de cas, qui évaluera ensuite la situation et déterminera les services appropriés nécessaires.	topic:Case Management; subTopic:Case Management - General Info
Y a-t-il des frais pour les services de gestion de cas?	Non, les services de gestion de cas sont offerts gratuitement Ã  tous les étudiants de l'Université d'Ottawa.	topic:Case Management; subTopic:Case Management - General Info
En quoi consiste le processus d'admission pour la gestion de cas?	Le processus d'admission consiste en une évaluation initiale oÃ¹ le gestionnaire de cas recueille des informations sur les besoins et les défis de l'étudiant pour créer un plan de soutien personnalisé.	topic:Case Management; subTopic:Case Management - Services
Quels services de suivi sont fournis dans la gestion de cas?	Les services de suivi dans la gestion de cas comprennent des vérifications réguliÃ¨res pour surveiller les progrÃ¨s de l'étudiant, des ajustements au plan de soutien si nécessaire et une coordination continue des services.	topic:Case Management; subTopic:Case Management - Services
OÃ¹ puis-je trouver plus d'informations sur la gestion de cas?	Plus d'informations sur les services de gestion de cas sont disponibles sur le site officiel de l'Université d'Ottawa dans la section Santé et bien-Ãªtre des étudiants.	topic:Case Management; subTopic:Case Management - General Info
Qu'est-ce que la gestion de cas?	La gestion de cas Ã  l'Université d'Ottawa est un service non clinique qui soutient les étudiants ayant des besoins complexes en coordonnant diverses ressources au sein de l'université et dans la communauté.	topic:Case Management; subTopic:Case Management - General Info
Qui peut accéder aux services de gestion de cas?	Tous les étudiants de l'Université d'Ottawa ayant des besoins complexes nécessitant la coordination de divers services de soutien peuvent accéder aux services de gestion de cas.	topic:Case Management; subTopic:Case Management - General Info
Quels sont les objectifs de la gestion de cas?	Les objectifs de la gestion de cas sont de fournir une approche intégrée pour gérer les besoins académiques, de santé ou personnels en créant un systÃ¨me de soutien personnalisé.	topic:Case Management; subTopic:Case Management - General Info
Comment fonctionne la gestion de cas?	La gestion de cas fonctionne en évaluant les besoins de l'étudiant et en coordonnant diverses ressources et services, tant Ã  l'intérieur qu'Ã  l'extérieur de l'université, pour aider l'étudiant Ã  surmonter les défis.	topic:Case Management; subTopic:Case Management - General Info
Quels types de soutien sont inclus dans la gestion de cas?	Le soutien dans la gestion de cas comprend des accommodements académiques, un soutien en santé mentale, une aide au logement et une connexion aux ressources communautaires.	topic:Case Management; subTopic:Case Management - General Info
Comment un étudiant peut-il demander des services de gestion de cas?	Un étudiant peut demander des services de gestion de cas en contactant l'équipe de soutien aux étudiants via le site Web de l'Université d'Ottawa ou en visitant le Centre de santé et de bien-Ãªtre des étudiants.	topic:Case Management; subTopic:Case Management - General Info
Quel est le processus de recommandation pour la gestion de cas?	Le processus de recommandation implique qu'un étudiant ou une personne concernée par l'étudiant contacte l'équipe de gestion de cas, qui évaluera ensuite la situation et déterminera les services appropriés nécessaires.	topic:Case Management; subTopic:Case Management - General Info
Y a-t-il des frais pour les services de gestion de cas?	Non, les services de gestion de cas sont offerts gratuitement Ã  tous les étudiants de l'Université d'Ottawa.	topic:Case Management; subTopic:Case Management - General Info
En quoi consiste le processus d'admission pour la gestion de cas?	Le processus d'admission consiste en une évaluation initiale oÃ¹ le gestionnaire de cas recueille des informations sur les besoins et les défis de l'étudiant pour créer un plan de soutien personnalisé.	topic:Case Management; subTopic:Case Management - Services
Quels services de suivi sont fournis dans la gestion de cas?	Les services de suivi dans la gestion de cas comprennent des vérifications réguliÃ¨res pour surveiller les progrÃ¨s de l'étudiant, des ajustements au plan de soutien si nécessaire et une coordination continue des services.	topic:Case Management; subTopic:Case Management - Services
OÃ¹ puis-je trouver plus d'informations sur la gestion de cas?	Plus d'informations sur les services de gestion de cas sont disponibles sur le site officiel de l'Université d'Ottawa dans la section Santé et bien-Ãªtre des étudiants.	topic:Case Management; subTopic:Case Management - General Info
Comment les membres du corps professoral peuvent-ils recommander un étudiant Ã  la gestion de cas?	Les membres du corps professoral peuvent recommander un étudiant Ã  la gestion de cas en contactant directement l'équipe de soutien aux étudiants par les canaux de communication internes de l'université.	topic:Case Management; subTopic:Case Management - General Info
Que se passe-t-il aprÃ¨s qu'une recommandation est faite?	AprÃ¨s qu'une recommandation est faite, l'équipe de gestion de cas contactera l'étudiant pour évaluer ses besoins et commencer Ã  coordonner les services nécessaires.	topic:Case Management; subTopic:Case Management - General Info
Les étudiants peuvent-ils s'auto-référer Ã  la gestion de cas?	Oui, les étudiants peuvent s'auto-référer Ã  la gestion de cas en contactant l'équipe de soutien aux étudiants ou en visitant le Centre de santé et de bien-Ãªtre des étudiants.	topic:Case Management; subTopic:Case Management - General Info
À quoi un étudiant doit-il s'attendre lors de la premiÃ¨re réunion de gestion de cas?	Lors de la premiÃ¨re réunion de gestion de cas, les étudiants peuvent s'attendre Ã  discuter de leurs défis, besoins et objectifs avec le gestionnaire de cas, qui créera ensuite un plan de soutien personnalisé.	topic:Case Management; subTopic:Case Management - General Info
Quels sont les avantages d'utiliser les services de gestion de cas?	Les avantages d'utiliser les services de gestion de cas comprennent un soutien personnalisé, un point de contact unique pour divers services et une meilleure gestion des défis académiques et personnels.	topic:Case Management; subTopic:Case Management - Services
Les services de gestion de cas peuvent-ils aider avec les ressources hors campus?	Oui, les services de gestion de cas peuvent aider les étudiants Ã  se connecter avec des ressources hors campus, telles que des services de soutien communautaire, une aide au logement et des ressources en santé mentale.	topic:Case Management; subTopic:Case Management - Services
Comment la gestion de cas coordonne-t-elle avec les autres services universitaires?	La gestion de cas coordonne avec les autres services universitaires en travaillant en étroite collaboration avec des départements tels que les accommodements académiques, les services de santé et les affaires étudiantes pour offrir un soutien complet.	topic:Case Management; subTopic:Case Management - General Info
Que dois-je faire si je suis inquiet pour un ami?	Si vous Ãªtes inquiet pour un ami, vous pouvez le recommander Ã  la gestion de cas en contactant l'équipe de soutien aux étudiants ou en l'encourageant Ã  les contacter lui-mÃªme.	topic:Case Management; subTopic:Case Management - General Info
Dans quelles langues les services de gestion de cas sont-ils offerts?	Les services de gestion de cas sont offerts en anglais et en franÃ§ais pour accommoder la population étudiante diversifiée de l'Université d'Ottawa.	topic:Case Management; subTopic:Case Management - General Info
Les services de gestion de cas sont-ils confidentiels?	Oui, tous les services de gestion de cas sont confidentiels, et les informations ne sont partagées avec les parties concernées qu'avec le consentement de l'étudiant.	topic:Case Management; subTopic:Case Management - Services
